IDs,Country,CustomerID,InvoiceDate,InvoiceNo,Quantity,StockCodes,UnitPriceUSD
50,Antigua and Barbuda,6121,2014-04-25,2435,87,2496X,2288
51,South Africa,168,2011-07-25,2242,55,2597E,2445
52,Samoa,2156,2003-12-27,2437,8,2107Q,3381
53,Greenland,2658,2002-07-06,1709,25,1843E,4352
54,"Micronesia, Federated States of",1656,2003-01-12,3512,27,1165I,3485
55,Montserrat,950,2022-04-18,5823,38,1661D,330
56,Chad,7328,2015-04-07,1167,71,2683W,1415
57,Greece,1560,2021-05-23,5097,71,1004W,1384
58,Hungary,4366,2009-09-28,5193,78,2744M,208
59,Ireland,5196,2010-08-18,2236,33,2722D,4129
60,Algeria,3295,2006-02-15,6549,51,1770R,377
61,Azerbaijan,3682,2017-07-02,2980,68,1039N,2545
62,Liechtenstein,7754,2016-10-20,3751,39,2395Z,247
63,"Korea, Republic of",327,2003-05-04,2500,71,1862Q,2136
64,Italy,3859,2019-05-07,5726,55,2102O,4382
65,Norway,1530,2017-06-19,1553,32,2057H,786
66,Pakistan,5012,2010-10-20,6463,49,2651Y,1250
67,Marshall Islands,7759,2014-02-16,3876,11,1004D,2483
68,Armenia,4193,2021-09-10,3627,19,2859U,2222
69,United States Minor Outlying Islands,6942,2017-07-06,4308,68,2051P,3193
70,Libya,6171,2002-01-25,1653,45,2505R,4454
71,Greece,1651,2001-09-25,1354,50,1001F,709
72,"Taiwan, Province of China",3870,2001-03-02,1830,94,1110N,135
73,Slovenia,953,2000-10-26,5969,94,1177B,2988
74,Nigeria,1188,2012-04-20,2989,21,1415P,3015
75,Lithuania,5356,2007-06-10,4599,32,2008H,4882
76,Vanuatu,1020,2003-08-03,3606,72,2890T,724
77,New Caledonia,5219,2021-09-03,5097,19,1836U,3846
78,Hong Kong,3015,2019-03-14,2800,57,2314J,3429
79,Ecuador,4429,2004-02-06,6999,82,1933W,3674
80,"Korea, Republic of",7966,2009-08-19,1585,49,1532G,3026
81,Chad,5796,2001-02-28,4205,14,2507I,1687
82,Mayotte,6489,2014-03-03,4624,20,1165B,1051
83,Panama,2090,2022-06-15,2833,55,2992R,922
84,Saint Pierre and Miquelon,2428,2020-09-06,6295,76,2946J,3364
85,Nauru,2944,2007-07-07,3331,41,1490O,447
86,Sudan,870,2019-12-31,3975,17,2965G,2186
87,Spain,2262,2005-01-28,1589,41,2049O,1294
88,Gabon,3992,2009-11-20,5790,40,1905Q,2488
89,Andorra,1001,2005-03-01,4333,81,1478A,1781
90,Liechtenstein,2021,2017-09-19,4307,50,1913L,400
91,Montenegro,4298,2016-11-17,1424,65,1864L,3617
92,Vanuatu,4107,2003-11-16,4162,55,1663P,3705
93,Hong Kong,368,2018-01-27,4729,6,2299Z,4715
94,Bouvet Island,3200,2002-03-10,1305,50,2093L,322
95,"Bonaire, Sint Eustatius and Saba",6861,2019-06-09,2861,81,2935O,1627
96,Monaco,7769,2002-03-25,5208,64,2205J,4730
97,Cuba,7927,2005-07-02,4097,52,1484G,3171
98,Norway,7430,2017-11-11,5615,89,2488Q,3086
99,United States,4461,2000-03-28,4984,30,1386D,4790
